# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# =============================================================================
"time [d]" "evaporation cumulation [m3/d]" "discharge cumulation [mol/d]" "surface-subsurface exchange cumulation [mol/d]" "thaw depth [m]"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.000000000000e+00 -1.325658205580e-03 5.330853216206e+07 8.248255934438e+07 0.000000000000e+00
2.000000000000e+00 -7.064788371038e-03 3.462853797001e+07 4.446726379236e+07 0.000000000000e+00
3.000000000000e+00 -8.511125248365e-03 2.700493147307e+07 3.585739072002e+07 0.000000000000e+00
4.000000000000e+00 -5.269549752030e-03 2.110277227994e+07 2.982392503633e+07 0.000000000000e+00
5.000000000000e+00 -3.555355500497e-02 1.707721430948e+07 2.503625570976e+07 0.000000000000e+00
6.000000000000e+00 -3.715770740471e-02 1.398933190081e+07 2.112064756705e+07 0.000000000000e+00
7.000000000000e+00 -7.507623692219e-03 1.035446309754e+07 1.783180365824e+07 0.000000000000e+00
8.000000000000e+00 -2.802998163164e-02 8.072138092752e+06 1.507512723175e+07 0.000000000000e+00
9.000000000000e+00 -3.065005120794e-02 5.842833129394e+06 1.276882355528e+07 0.000000000000e+00
1.000000000000e+01 -1.852098275036e-02 3.390530902905e+06 1.082254507052e+07 0.000000000000e+00
1.100000000000e+01 -2.413973756198e-02 2.115908126683e+06 9.218650722146e+06 0.000000000000e+00
1.200000000000e+01 -2.222348944703e-02 1.659965402867e+06 7.845766948713e+06 0.000000000000e+00
1.300000000000e+01 -1.922506337514e-02 1.512090322305e+06 6.713164026277e+06 0.000000000000e+00
1.400000000000e+01 -1.491542629459e-02 1.352110737466e+06 5.766401046531e+06 0.000000000000e+00
1.500000000000e+01 -9.520991888627e-03 1.183868339558e+06 4.958227836412e+06 0.000000000000e+00
1.600000000000e+01 -2.828352845378e-03 1.022480851914e+06 4.305530639513e+06 0.000000000000e+00
1.700000000000e+01 1.389393397662e-04 9.185307181538e+05 3.748950047388e+06 0.000000000000e+00
1.800000000000e+01 -1.349613263589e-02 9.245988252963e+05 3.275675868811e+06 0.000000000000e+00
1.900000000000e+01 -4.954081325540e-02 9.361483694938e+05 2.882067864306e+06 0.000000000000e+00
2.000000000000e+01 -5.920521208951e-02 9.145747538660e+05 2.582233959765e+06 0.000000000000e+00
2.100000000000e+01 -1.492066726843e-01 9.285538504749e+05 2.329264390064e+06 0.000000000000e+00
2.200000000000e+01 -1.261464386382e-01 8.704410587713e+05 2.129255128125e+06 0.000000000000e+00
2.300000000000e+01 -7.118916275993e-03 6.409359310877e+05 1.972960876847e+06 0.000000000000e+00
2.400000000000e+01 -3.457070869143e-03 4.851368706767e+05 1.806450953927e+06 0.000000000000e+00
2.500000000000e+01 -9.586543178841e-03 4.314483357962e+05 1.634816246298e+06 0.000000000000e+00
2.600000000000e+01 -1.379627001115e-02 4.446364406962e+05 1.489071991084e+06 0.000000000000e+00
2.700000000000e+01 -1.098442779504e-02 4.827896425152e+05 1.375137522082e+06 0.000000000000e+00
2.800000000000e+01 -2.150883308242e-02 4.770763386051e+05 1.293489798085e+06 0.000000000000e+00
2.900000000000e+01 -2.248794041411e-02 4.202814738512e+05 1.239842399605e+06 0.000000000000e+00
3.000000000000e+01 -9.090698210234e-03 3.007984098608e+05 1.203721798778e+06 0.000000000000e+00
3.100000000000e+01 -6.856534847932e-03 2.414804449181e+05 1.138575781091e+06 0.000000000000e+00
3.200000000000e+01 -2.814084630130e-02 2.669804562631e+05 1.060179084047e+06 0.000000000000e+00
3.300000000000e+01 -6.258084055206e-02 3.034880332050e+05 1.003310535053e+06 0.000000000000e+00
3.400000000000e+01 -4.483139009712e-02 2.964040657023e+05 9.790738603082e+05 0.000000000000e+00
3.500000000000e+01 -3.939706560399e-02 2.999438461910e+05 9.474167045683e+05 0.000000000000e+00
3.600000000000e+01 -8.058995782950e-02 3.672160604558e+05 9.107295236358e+05 0.000000000000e+00
3.700000000000e+01 -1.588447917606e-01 4.237327049444e+05 8.937398926226e+05 0.000000000000e+00
3.800000000000e+01 -1.045510213285e-01 3.942936330328e+05 9.022261905526e+05 0.000000000000e+00
3.900000000000e+01 -3.145100397924e-02 3.258916845971e+05 9.032152969430e+05 0.000000000000e+00
4.000000000000e+01 -6.083666656442e-02 3.662863437939e+05 8.771320025294e+05 0.000000000000e+00
4.100000000000e+01 -4.491123527174e-02 3.987329300663e+05 8.661668149176e+05 0.000000000000e+00
4.200000000000e+01 -2.914009266076e-02 3.956283246987e+05 8.614200067813e+05 0.000000000000e+00
4.300000000000e+01 -5.313387755521e-02 4.109458229973e+05 8.543719950694e+05 0.000000000000e+00
4.400000000000e+01 -4.452528484416e-02 3.826037689936e+05 8.545611265693e+05 0.000000000000e+00
4.500000000000e+01 -2.252643791913e-02 3.145781404662e+05 8.522913806397e+05 0.000000000000e+00
4.600000000000e+01 -2.393644487349e-02 2.759593965608e+05 8.373024375338e+05 0.000000000000e+00
4.700000000000e+01 -4.240332024485e-02 2.748800684163e+05 8.181958960630e+05 0.000000000000e+00
4.800000000000e+01 -2.683559868132e-02 2.030912745200e+05 8.143202431061e+05 0.000000000000e+00
4.900000000000e+01 -1.322589927552e-04 8.408387252967e+04 8.078231129441e+05 0.000000000000e+00
5.000000000000e+01 -1.154288427765e-02 8.913237953923e+04 7.686962050875e+05 0.000000000000e+00
5.100000000000e+01 -3.636908109932e-02 1.175757902387e+05 7.398291626318e+05 0.000000000000e+00
5.200000000000e+01 -3.844659866897e-02 1.088175298125e+05 7.282740107285e+05 0.000000000000e+00
5.300000000000e+01 -2.570701126193e-02 1.117112883472e+05 7.139619023051e+05 0.000000000000e+00
5.400000000000e+01 -1.038507450130e-01 2.040085029722e+05 6.953669261784e+05 0.000000000000e+00
5.500000000000e+01 -7.911291867224e-02 1.887815479497e+05 7.060718593904e+05 0.000000000000e+00
5.600000000000e+01 -3.018462943224e-02 1.369378535819e+05 7.078598635168e+05 0.000000000000e+00
5.700000000000e+01 -2.478066370022e-02 1.278203260258e+05 7.027929730116e+05 0.000000000000e+00
5.800000000000e+01 3.403064184506e-03 2.916015262549e+04 7.035684573350e+05 0.000000000000e+00
5.900000000000e+01 3.452573541150e-03 0.000000000000e+00 6.907443344867e+05 0.000000000000e+00
6.000000000000e+01 4.553285476642e-03 0.000000000000e+00 6.640403747669e+05 0.000000000000e+00
6.100000000000e+01 -6.916717569237e-02 2.019991532161e+03 6.360698175733e+05 0.000000000000e+00
6.200000000000e+01 -1.190245913574e-01 8.795503696563e+04 6.321001897704e+05 0.000000000000e+00
6.300000000000e+01 -1.040802336557e-01 1.262139356598e+05 6.375650982890e+05 0.000000000000e+00
6.400000000000e+01 -1.411277943371e-01 1.601649021169e+05 6.426132352099e+05 0.000000000000e+00
6.500000000000e+01 -1.918787579785e-01 1.697052985955e+05 6.506553167407e+05 0.000000000000e+00
6.600000000000e+01 -1.001234756513e-01 1.379372357179e+05 6.567717987473e+05 0.000000000000e+00
6.700000000000e+01 -7.714891998698e-02 1.213490229282e+05 6.557850370304e+05 0.000000000000e+00
6.800000000000e+01 -4.739654802513e-02 8.187448518934e+04 6.545913792887e+05 0.000000000000e+00
6.900000000000e+01 4.741138822435e-03 2.688864912727e+04 6.469071514825e+05 0.000000000000e+00
7.000000000000e+01 2.199721348112e-02 9.403116991549e+03 6.372744379524e+05 0.000000000000e+00
7.100000000000e+01 2.778971048817e-02 0.000000000000e+00 6.231817845788e+05 0.000000000000e+00
7.200000000000e+01 3.389227119457e-02 0.000000000000e+00 6.094395963842e+05 0.000000000000e+00
7.300000000000e+01 4.635916119613e-02 0.000000000000e+00 5.940230927555e+05 0.000000000000e+00
7.400000000000e+01 5.141718774541e-02 0.000000000000e+00 5.803767039914e+05 0.000000000000e+00
