# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# =============================================================================
"time [d]" "evaporation cumulation [m3/d]" "discharge cumulation [mol/d]" "surface-subsurface exchange cumulation [mol/d]" "thaw depth [m]"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.000000000000e+00 -1.325689009760e-03 5.115291888405e+07 7.980660654411e+07 0.000000000000e+00
2.000000000000e+00 -7.054858825249e-03 3.325284850415e+07 4.303552265320e+07 0.000000000000e+00
3.000000000000e+00 -8.515818438141e-03 2.607310038530e+07 3.488880902864e+07 0.000000000000e+00
4.000000000000e+00 -5.270272982440e-03 2.051710427534e+07 2.922343510115e+07 0.000000000000e+00
5.000000000000e+00 -3.561751116427e-02 1.678768803906e+07 2.473520325342e+07 0.000000000000e+00
6.000000000000e+00 -3.717615018489e-02 1.393102329557e+07 2.104457987509e+07 0.000000000000e+00
7.000000000000e+00 -7.510092462992e-03 1.041961485154e+07 1.791492880327e+07 0.000000000000e+00
8.000000000000e+00 -2.810140363010e-02 8.244290473530e+06 1.526771425371e+07 0.000000000000e+00
9.000000000000e+00 -3.064936353509e-02 6.070395478616e+06 1.302785269728e+07 0.000000000000e+00
1.000000000000e+01 -1.849075830109e-02 3.624369339300e+06 1.113019227871e+07 0.000000000000e+00
1.100000000000e+01 -2.413328886608e-02 2.279607668535e+06 9.544670186466e+06 0.000000000000e+00
1.200000000000e+01 -2.222516132120e-02 1.647268839582e+06 8.188456858656e+06 0.000000000000e+00
1.300000000000e+01 -1.925062048635e-02 1.497831856265e+06 7.044869254600e+06 0.000000000000e+00
1.400000000000e+01 -1.491289712210e-02 1.341669718939e+06 6.086008671387e+06 0.000000000000e+00
1.500000000000e+01 -9.636594775981e-03 1.180373299046e+06 5.265585559071e+06 0.000000000000e+00
1.600000000000e+01 -2.826558095738e-03 1.019821254240e+06 4.586344140920e+06 0.000000000000e+00
1.700000000000e+01 2.310224557493e-04 9.167882216796e+05 4.008778440332e+06 0.000000000000e+00
1.800000000000e+01 -1.338174997342e-02 9.242107646156e+05 3.505054473061e+06 0.000000000000e+00
1.900000000000e+01 -4.952111269457e-02 9.354028830298e+05 3.091393813278e+06 0.000000000000e+00
2.000000000000e+01 -5.889326436333e-02 9.137750368745e+05 2.772879082020e+06 0.000000000000e+00
2.100000000000e+01 -1.491077933659e-01 9.270754250967e+05 2.495353449405e+06 0.000000000000e+00
2.200000000000e+01 -1.202894059711e-01 8.620615061435e+05 2.271991376692e+06 0.000000000000e+00
2.300000000000e+01 -7.034468987604e-03 6.342659851519e+05 2.100686773047e+06 0.000000000000e+00
2.400000000000e+01 -3.396575536601e-03 4.777365153801e+05 1.912258613995e+06 0.000000000000e+00
2.500000000000e+01 -9.684909049193e-03 4.264102466964e+05 1.732127393387e+06 0.000000000000e+00
2.600000000000e+01 -1.374001933707e-02 4.400297937855e+05 1.575794010179e+06 0.000000000000e+00
2.700000000000e+01 -1.086424662225e-02 4.769237156930e+05 1.446992557198e+06 0.000000000000e+00
2.800000000000e+01 -2.199110817175e-02 4.705594907258e+05 1.353608999489e+06 0.000000000000e+00
2.900000000000e+01 -2.230937145998e-02 4.120238215220e+05 1.292761512677e+06 0.000000000000e+00
3.000000000000e+01 -8.894686197181e-03 2.899078081031e+05 1.247932546762e+06 0.000000000000e+00
3.100000000000e+01 -6.787979652071e-03 2.326968307821e+05 1.180569819718e+06 0.000000000000e+00
3.200000000000e+01 -2.927443320624e-02 2.593763347210e+05 1.090403912183e+06 0.000000000000e+00
3.300000000000e+01 -6.215102165775e-02 2.931838749773e+05 1.030131308723e+06 0.000000000000e+00
3.400000000000e+01 -4.422091582351e-02 2.849294386779e+05 9.993216655092e+05 0.000000000000e+00
3.500000000000e+01 -3.906429849455e-02 2.871527218003e+05 9.636524313073e+05 0.000000000000e+00
3.600000000000e+01 -8.116635655223e-02 3.553712753991e+05 9.194364336176e+05 0.000000000000e+00
3.700000000000e+01 -1.552029810932e-01 4.074745761875e+05 8.974006375536e+05 0.000000000000e+00
3.800000000000e+01 -1.039607460169e-01 3.795047152200e+05 9.043228892122e+05 0.000000000000e+00
3.900000000000e+01 -3.134811738260e-02 3.106020438475e+05 9.057982052431e+05 0.000000000000e+00
4.000000000000e+01 -6.083720206204e-02 3.513347150386e+05 8.752085982802e+05 0.000000000000e+00
4.100000000000e+01 -4.423820928217e-02 3.826030688582e+05 8.619755997378e+05 0.000000000000e+00
4.200000000000e+01 -2.904863127699e-02 3.799667248058e+05 8.558822897747e+05 0.000000000000e+00
4.300000000000e+01 -5.103705389644e-02 3.939718435028e+05 8.469846781358e+05 0.000000000000e+00
4.400000000000e+01 -4.334177376587e-02 3.642269174391e+05 8.470191439271e+05 0.000000000000e+00
4.500000000000e+01 -2.243566617078e-02 2.978027870613e+05 8.469559535067e+05 0.000000000000e+00
4.600000000000e+01 -2.401218495610e-02 2.583885362112e+05 8.323255030008e+05 0.000000000000e+00
4.700000000000e+01 -4.244655273468e-02 2.575255633379e+05 8.116186962385e+05 0.000000000000e+00
4.800000000000e+01 -2.498378924112e-02 1.800750952240e+05 8.098062705608e+05 0.000000000000e+00
4.900000000000e+01 -6.380212513862e-05 6.599561228747e+04 8.062188620945e+05 0.000000000000e+00
5.000000000000e+01 -1.158690230464e-02 7.160993141676e+04 7.651814051331e+05 0.000000000000e+00
5.100000000000e+01 -3.623213117147e-02 9.992439878925e+04 7.344936274433e+05 0.000000000000e+00
5.200000000000e+01 -3.820141597694e-02 9.166207655638e+04 7.222085870606e+05 0.000000000000e+00
5.300000000000e+01 -2.542219627351e-02 9.564157380197e+04 7.073902214320e+05 0.000000000000e+00
5.400000000000e+01 -1.039344399139e-01 1.875988873943e+05 6.858495190996e+05 0.000000000000e+00
5.500000000000e+01 -7.752915112910e-02 1.716916700937e+05 6.965741339141e+05 0.000000000000e+00
5.600000000000e+01 -3.035198118297e-02 1.206844693033e+05 6.995048882598e+05 0.000000000000e+00
5.700000000000e+01 -2.556223875545e-02 1.132520797524e+05 6.953783130639e+05 0.000000000000e+00
5.800000000000e+01 3.679811107652e-03 1.673443494727e+04 7.004625788169e+05 0.000000000000e+00
5.900000000000e+01 2.988451440927e-03 0.000000000000e+00 6.877418378875e+05 0.000000000000e+00
6.000000000000e+01 4.747551367653e-03 0.000000000000e+00 6.610981609771e+05 0.000000000000e+00
6.100000000000e+01 -7.598872986387e-02 0.000000000000e+00 6.286679804751e+05 0.000000000000e+00
6.200000000000e+01 -1.193876212454e-01 4.085434734638e+04 6.253314961407e+05 0.000000000000e+00
6.300000000000e+01 -1.024531644860e-01 1.062251300929e+05 6.296763186583e+05 0.000000000000e+00
6.400000000000e+01 -1.426800650366e-01 1.435233613470e+05 6.335729014259e+05 0.000000000000e+00
6.500000000000e+01 -1.918410990620e-01 1.544457433393e+05 6.420958645763e+05 0.000000000000e+00
6.600000000000e+01 -1.028882542477e-01 1.237236064483e+05 6.505839409790e+05 0.000000000000e+00
6.700000000000e+01 -7.775043136754e-02 1.067905594250e+05 6.503760445735e+05 0.000000000000e+00
6.800000000000e+01 -4.868918323710e-02 6.799128233927e+04 6.514550625994e+05 0.000000000000e+00
6.900000000000e+01 3.880315577084e-03 1.299558733950e+04 6.456673364885e+05 0.000000000000e+00
7.000000000000e+01 2.258932587513e-02 2.547864902574e+03 6.364326164528e+05 0.000000000000e+00
7.100000000000e+01 2.916501257634e-02 0.000000000000e+00 6.229878106549e+05 0.000000000000e+00
7.200000000000e+01 6.588367645345e-02 0.000000000000e+00 6.121532040610e+05 0.000000000000e+00
7.300000000000e+01 8.172483872678e-02 0.000000000000e+00 6.006990104497e+05 0.000000000000e+00
7.400000000000e+01 8.480872639131e-02 0.000000000000e+00 5.889573777746e+05 0.000000000000e+00
7.500000000000e+01 8.824183136668e-02 0.000000000000e+00 5.691740418009e+05 0.000000000000e+00
7.600000000000e+01 1.111648841203e-01 0.000000000000e+00 5.608305944322e+05 0.000000000000e+00
7.700000000000e+01 1.213718492571e-01 0.000000000000e+00 5.518913429396e+05 0.000000000000e+00
7.800000000000e+01 1.297182165485e-01 0.000000000000e+00 5.403582792435e+05 0.000000000000e+00
7.900000000000e+01 1.502997374276e-01 0.000000000000e+00 5.336497227605e+05 0.000000000000e+00
8.000000000000e+01 8.481511493733e-02 0.000000000000e+00 5.363985172803e+05 0.000000000000e+00
8.100000000000e+01 1.403502861853e-01 0.000000000000e+00 5.569911863336e+05 0.000000000000e+00
8.200000000000e+01 2.223280154713e-01 0.000000000000e+00 5.694312580321e+05 0.000000000000e+00
8.300000000000e+01 2.489641758509e-01 0.000000000000e+00 5.716334876757e+05 0.000000000000e+00
8.400000000000e+01 -3.981759840828e-02 0.000000000000e+00 5.750093568044e+05 0.000000000000e+00
8.500000000000e+01 -1.577326594230e-01 0.000000000000e+00 5.835725331109e+05 0.000000000000e+00
8.600000000000e+01 -1.195293270023e-01 0.000000000000e+00 5.858580191000e+05 0.000000000000e+00
8.700000000000e+01 -5.640167037456e-02 0.000000000000e+00 5.859432199795e+05 0.000000000000e+00
8.800000000000e+01 -6.688446967595e-02 0.000000000000e+00 5.867380911302e+05 0.000000000000e+00
8.900000000000e+01 1.491355477651e-01 0.000000000000e+00 5.873807221265e+05 0.000000000000e+00
9.000000000000e+01 -1.378815325821e-01 0.000000000000e+00 5.880523366469e+05 0.000000000000e+00
9.100000000000e+01 -9.605912547096e-02 1.041852397895e+05 5.888542505021e+05 0.000000000000e+00
9.200000000000e+01 5.978100056475e-02 1.923137308549e+05 5.980694926115e+05 0.000000000000e+00
9.300000000000e+01 8.431093368430e-01 1.358217117456e+05 6.104559009034e+05 0.000000000000e+00
9.400000000000e+01 3.935162614452e-01 1.315508398286e+05 6.139990143696e+05 0.000000000000e+00
9.500000000000e+01 -7.930113752247e-02 1.577683254357e+05 6.144508624694e+05 0.000000000000e+00
9.600000000000e+01 -6.311999014251e-02 1.340104947238e+05 6.110393917125e+05 0.000000000000e+00
9.700000000000e+01 -2.405260530232e-02 1.169983112651e+05 6.052481740267e+05 0.000000000000e+00
