# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# =============================================================================
"time [d]" "evaporation cumulation [m3/d]" "discharge cumulation [mol/d]" "surface-subsurface exchange cumulation [mol/d]" "thaw depth [m]"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.000000000000e+00 -1.325574557392e-03 6.561858199712e+07 9.548845143979e+07 0.000000000000e+00
2.000000000000e+00 -7.034625585056e-03 4.188452119703e+07 5.145586564329e+07 0.000000000000e+00
3.000000000000e+00 -8.513911968103e-03 3.146460486725e+07 4.016918581390e+07 0.000000000000e+00
4.000000000000e+00 -5.269393825789e-03 2.357780604227e+07 3.211412324298e+07 0.000000000000e+00
5.000000000000e+00 -3.552422361462e-02 1.811730026281e+07 2.586619296544e+07 0.000000000000e+00
6.000000000000e+00 -3.714255172660e-02 1.395432715274e+07 2.087557159210e+07 0.000000000000e+00
7.000000000000e+00 -7.516302009478e-03 9.597213979309e+06 1.685035351198e+07 0.000000000000e+00
8.000000000000e+00 -2.802580679726e-02 6.887858422813e+06 1.365774061261e+07 0.000000000000e+00
9.000000000000e+00 -3.046045072579e-02 4.460772813930e+06 1.108505185160e+07 0.000000000000e+00
1.000000000000e+01 -1.837202883483e-02 2.177105250505e+06 9.027038219444e+06 0.000000000000e+00
1.100000000000e+01 -2.406180574493e-02 1.568805505287e+06 7.361488177000e+06 0.000000000000e+00
1.200000000000e+01 -2.217964052712e-02 1.451394854456e+06 6.059472959141e+06 0.000000000000e+00
1.300000000000e+01 -1.910888193521e-02 1.315018120376e+06 5.010023490965e+06 0.000000000000e+00
1.400000000000e+01 -1.486805420599e-02 1.176311495800e+06 4.191072048162e+06 0.000000000000e+00
1.500000000000e+01 -9.649923065817e-03 1.031087626317e+06 3.516397302092e+06 0.000000000000e+00
1.600000000000e+01 -3.150444953049e-03 8.884874583907e+05 3.005511977508e+06 0.000000000000e+00
1.700000000000e+01 -2.857320643690e-04 7.971410839120e+05 2.580066940294e+06 0.000000000000e+00
1.800000000000e+01 -1.515946367331e-02 8.166790999975e+05 2.219271457054e+06 0.000000000000e+00
1.900000000000e+01 -4.991895894615e-02 8.374386361888e+05 1.964472285712e+06 0.000000000000e+00
2.000000000000e+01 -6.172163592808e-02 8.249338330394e+05 1.774884504200e+06 0.000000000000e+00
2.100000000000e+01 -1.503707919525e-01 8.464661292851e+05 1.614924397139e+06 0.000000000000e+00
2.200000000000e+01 -1.272542148324e-01 7.976870425174e+05 1.505158839804e+06 0.000000000000e+00
2.300000000000e+01 -7.359078401999e-03 5.740709242313e+05 1.411213562920e+06 0.000000000000e+00
2.400000000000e+01 -3.634930313664e-03 4.292262901299e+05 1.299381243574e+06 0.000000000000e+00
2.500000000000e+01 -9.610018344440e-03 3.856288147724e+05 1.194543192053e+06 0.000000000000e+00
2.600000000000e+01 -1.406494653891e-02 4.099548804623e+05 1.110193954072e+06 0.000000000000e+00
2.700000000000e+01 -1.134073333403e-02 4.533102770677e+05 1.055294862867e+06 0.000000000000e+00
2.800000000000e+01 -2.180845639732e-02 4.529755123371e+05 1.016272691012e+06 0.000000000000e+00
2.900000000000e+01 -2.203513849508e-02 3.971004168929e+05 9.799586068989e+05 0.000000000000e+00
3.000000000000e+01 -8.883661977158e-03 2.800143027651e+05 9.368093585143e+05 0.000000000000e+00
3.100000000000e+01 -7.009770332153e-03 2.264532400678e+05 8.859797752669e+05 0.000000000000e+00
3.200000000000e+01 -2.845313637992e-02 2.529666654763e+05 8.431667921388e+05 0.000000000000e+00
3.300000000000e+01 -6.304650791161e-02 2.891743053355e+05 8.085708987053e+05 0.000000000000e+00
3.400000000000e+01 -4.385759878625e-02 2.763568729225e+05 7.817691890804e+05 0.000000000000e+00
3.500000000000e+01 -3.973725352603e-02 2.701510533044e+05 7.538144193001e+05 0.000000000000e+00
3.600000000000e+01 -8.116301717162e-02 3.165989680356e+05 7.305785719029e+05 0.000000000000e+00
3.700000000000e+01 -1.553978805208e-01 3.414924869123e+05 7.077459276644e+05 0.000000000000e+00
3.800000000000e+01 -1.015981025595e-01 2.853397700368e+05 6.859307018229e+05 0.000000000000e+00
3.900000000000e+01 -3.237957257427e-02 1.981865607222e+05 6.522915125599e+05 0.000000000000e+00
