# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: evaporation cumulation [m3/d]
# Region: surface domain
# Reduction: integral
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: discharge cumulation [mol/d]
# Region: surface outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface exchange cumulation [mol/d]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Reduction: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# =============================================================================
"time [d]" "evaporation cumulation [m3/d]" "discharge cumulation [mol/d]" "surface-subsurface exchange cumulation [mol/d]" "thaw depth [m]"
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.000000000000e+00 -1.358979758031e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.000000000000e+00 -1.204410057115e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.000000000000e+00 -4.650983833696e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
4.000000000000e+00 -5.634675838466e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
5.000000000000e+00 -5.981518227419e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
6.000000000000e+00 -1.005124111611e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
7.000000000000e+00 -5.314386814529e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
8.000000000000e+00 -4.992237685419e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
9.000000000000e+00 -9.671995068619e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.000000000000e+01 -2.557154719657e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.100000000000e+01 -2.110034452853e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.200000000000e+01 -2.134575689206e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.300000000000e+01 -1.530991169900e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.400000000000e+01 -1.319200900430e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.500000000000e+01 -6.625726239592e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.600000000000e+01 -1.703707792597e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.700000000000e+01 -1.478214345408e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.800000000000e+01 -2.916224743547e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.900000000000e+01 -7.503740103581e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.000000000000e+01 -6.140829792979e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.100000000000e+01 -2.378911093221e-01 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.200000000000e+01 -1.002449996736e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.300000000000e+01 -4.124693143079e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.400000000000e+01 -4.153413629730e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.500000000000e+01 -1.394250703244e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.600000000000e+01 -1.513678532492e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.700000000000e+01 -1.060810532844e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.800000000000e+01 -3.297389240053e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.900000000000e+01 -1.325541960593e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.000000000000e+01 -5.864894951487e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.100000000000e+01 -8.280530111364e-03 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.200000000000e+01 -4.205478952988e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.300000000000e+01 -7.564955107707e-02 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
