atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
5.00000e-04 8.53088e-05 3.00914e-05 2.99295e-04 1.13388e-04 2.00876e-06 9.54595e-06 9.55887e-08 -2.44107e+01
2.31481e-05 4.23374e-06 3.14594e-05 1.35220e-05 5.24942e-06 1.38709e-06 6.13404e-06 2.23770e-05 6.44323e+00
4.62963e-06 7.98328e-07 3.35238e-05 4.42570e-07 1.04945e-06 2.32532e-06 1.04945e-06 1.89854e-05 1.30958e+00
0.00000e+00 0.00000e+00 3.45633e-05 -2.24453e-06 0.00000e+00 2.17883e-06 0.00000e+00 1.99464e-05 3.08902e+00
1.62037e-04 3.12201e-05 3.46132e-05 1.05845e-04 3.67003e-05 2.26785e-06 2.25287e-05 1.31186e-05 3.84571e-01
6.01852e-05 1.14067e-05 3.39909e-05 3.72306e-05 1.36258e-05 2.30885e-06 9.11192e-06 1.67345e-05 1.30521e+00
4.62963e-06 7.98373e-07 3.32802e-05 -1.95081e-07 1.04770e-06 2.97369e-06 1.04770e-06 2.10609e-05 1.27799e+00
1.54861e-03 3.39499e-04 3.27377e-05 3.60057e-04 3.50306e-04 2.65917e-06 1.72210e-05 1.27325e-05 -3.20031e+00
0.00000e+00 0.00000e+00 3.27328e-05 5.11254e-04 0.00000e+00 2.57919e-06 5.33522e-06 2.06329e-05 -1.65134e+00
7.40741e-05 1.41137e-05 4.18170e-05 2.49645e-04 1.67410e-05 3.34526e-06 8.14586e-06 2.61533e-05 1.72545e+00
5.16204e-04 1.18403e-04 7.23113e-05 2.97179e-04 1.16619e-04 2.04682e-06 3.20712e-05 1.00281e-05 -1.21140e+00
3.26389e-04 8.09017e-05 1.10519e-04 1.86876e-04 7.36890e-05 3.02703e-06 1.21204e-06 2.22527e-05 -4.83371e-01
3.26389e-04 8.19729e-05 1.24520e-04 3.44596e-04 7.36729e-05 2.21069e-06 7.45695e-06 1.85736e-05 -1.10283e+00
1.62037e-05 3.29724e-06 1.63625e-04 8.12643e-05 3.65569e-06 3.06181e-06 3.13678e-06 2.00967e-05 -7.21401e-01
5.09259e-05 1.17788e-05 1.87295e-04 4.88730e-05 1.14849e-05 2.20853e-06 6.79282e-06 1.90631e-05 -4.90937e-02
4.16667e-05 8.44304e-06 1.71334e-04 2.42465e-05 9.39267e-06 3.01453e-06 9.58889e-06 1.71574e-05 -1.06085e+00
4.62963e-06 9.29028e-07 1.43363e-04 -6.93832e-08 1.04317e-06 3.18583e-06 1.04317e-06 2.07847e-05 2.24500e-01
9.25926e-06 1.80754e-06 1.18671e-04 2.28962e-06 2.08614e-06 2.97707e-06 2.08614e-06 2.16833e-05 1.65829e+00
0.00000e+00 0.00000e+00 1.07877e-04 -3.22398e-06 0.00000e+00 3.21129e-06 0.00000e+00 2.51193e-05 5.58067e-02
1.43519e-04 3.21980e-05 1.01628e-04 9.42822e-05 3.23289e-05 3.10273e-06 8.73601e-06 2.02432e-05 -1.80220e+00
2.31481e-06 4.45895e-07 9.28775e-05 -1.03272e-06 5.21385e-07 2.33496e-06 5.71515e-06 1.84719e-05 -1.11193e+00
3.47222e-05 6.57884e-06 8.45938e-05 1.68000e-05 7.82003e-06 3.47343e-06 7.80412e-06 2.31306e-05 -5.94016e-01
4.62963e-06 8.68989e-07 7.71557e-05 -1.14298e-07 1.04257e-06 2.83084e-06 1.04257e-06 2.18636e-05 3.96991e-01
2.31481e-06 4.31388e-07 7.00906e-05 -1.56241e-06 5.21235e-07 2.88570e-06 5.21235e-07 2.17262e-05 9.53040e-02
0.00000e+00 0.00000e+00 6.33854e-05 -4.21961e-06 0.00000e+00 4.21660e-06 0.00000e+00 2.86766e-05 -7.58508e-01
2.54630e-05 4.64131e-06 5.70691e-05 1.21220e-05 5.73248e-06 2.96585e-06 5.73248e-06 2.14136e-05 -5.31424e-01
3.00926e-05 5.42336e-06 5.13054e-05 1.45977e-05 6.77409e-06 3.27466e-06 6.77409e-06 2.14030e-05 5.34005e-01
1.38889e-04 2.77257e-05 4.61926e-05 9.01292e-05 3.12620e-05 2.72516e-06 1.82649e-05 1.62617e-05 4.05668e-01
1.15741e-04 2.49892e-05 4.18046e-05 8.13700e-05 2.60491e-05 3.02532e-06 6.33013e-06 2.15123e-05 8.45913e-01
6.94444e-06 1.21453e-06 3.83484e-05 1.23006e-06 1.56280e-06 2.89968e-06 1.56280e-06 2.22928e-05 3.08376e-01
1.15741e-05 2.01620e-06 3.59064e-05 3.54489e-06 2.60440e-06 3.40751e-06 2.60440e-06 2.04173e-05 -1.94411e+00
1.08796e-04 2.24245e-05 3.39743e-05 7.45493e-05 2.44790e-05 3.45283e-06 8.36824e-06 2.21781e-05 5.41043e-01
4.16667e-05 7.17065e-06 3.21924e-05 2.23710e-05 9.37397e-06 2.74979e-06 9.37350e-06 1.85399e-05 -2.69035e+00
4.62963e-06 7.92514e-07 3.05968e-05 -9.87402e-07 1.04144e-06 3.78252e-06 1.04144e-06 2.18010e-05 -2.95338e+00
2.45370e-04 4.85764e-05 2.91955e-05 1.60006e-04 5.51902e-05 2.13956e-06 2.22291e-05 1.38018e-05 5.66650e-02
1.99074e-04 4.11127e-05 2.79293e-05 1.52896e-04 4.47721e-05 1.88650e-06 1.35891e-05 1.73989e-05 2.63585e+00
0.00000e+00 0.00000e+00 2.72683e-05 -2.21139e-06 0.00000e+00 3.64608e-06 0.00000e+00 2.11875e-05 -4.25257e+00
6.94444e-06 1.17875e-06 2.76442e-05 8.98182e-07 1.56147e-06 3.45175e-06 1.56147e-06 2.09597e-05 -9.70130e-01
4.37500e-04 9.43333e-05 2.83081e-05 3.08613e-04 9.83620e-05 1.94573e-06 7.31935e-06 1.59311e-05 -6.29485e-01
1.62037e-05 2.76638e-06 2.93120e-05 2.81162e-05 3.64263e-06 2.93012e-06 3.64263e-06 1.79140e-05 -1.76887e-01
0.00000e+00 0.00000e+00 3.16991e-05 -8.12903e-08 0.00000e+00 3.61429e-06 0.00000e+00 2.14720e-05 -2.42667e+00
1.15741e-05 2.00917e-06 3.44216e-05 4.30570e-06 2.60130e-06 3.06792e-06 2.60130e-06 1.95633e-05 -1.81145e+00
6.71296e-05 1.32779e-05 3.61631e-05 4.30319e-05 1.50859e-05 2.83004e-06 8.01294e-06 2.08177e-05 -1.63048e+00
2.31481e-06 4.04013e-07 3.66614e-05 -2.10254e-06 5.20145e-07 3.47824e-06 5.20145e-07 2.26527e-05 -9.24304e-01
1.85185e-05 3.22558e-06 3.62850e-05 7.83237e-06 4.16066e-06 3.29839e-06 1.47395e-06 2.06936e-05 -1.42580e+00
2.08333e-05 3.62123e-06 3.52718e-05 9.93187e-06 4.68025e-06 2.59792e-06 7.36696e-06 1.86691e-05 -1.47168e+00
2.77778e-05 4.80501e-06 3.38267e-05 1.34351e-05 6.24075e-06 3.28947e-06 6.24075e-06 1.88128e-05 1.60542e-01
3.10185e-04 6.16538e-05 3.21772e-05 2.10876e-04 6.97056e-05 2.75784e-06 3.27023e-05 1.32754e-05 -3.49710e-01
